"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393709","Government","2015-07-31","welfarereformandwork.html","http://services.parliament.uk/bills/welfarereformandwork.html","Welfare Reform and Work","2015-2016","Iain Duncan Smith","Welfare Reform and Work"
"http://data.parliament.uk/resources/393613","Government","2015-07-30","charitiesprotectionandsocialinvestment.html","http://services.parliament.uk/bills/charitiesprotectionandsocialinvestment.html","Charities (Protection and Social Investment)","2015-2016","Lord Bridges of Headley","Charities (Protection and Social Investment)"
"http://data.parliament.uk/resources/393710","Government","2015-07-30","energy.html","http://services.parliament.uk/bills/energy.html","Energy","2015-2016","Lord Bourne of Aberystwyth","Energy"
"http://data.parliament.uk/resources/393705","Presentation","2015-07-24","workingtimedirectivelimitation.html","http://services.parliament.uk/bills/workingtimedirectivelimitation.html","Working Time Directive (Limitation)","2015-2016","Christopher Chope","Working Time Directive (Limitation)"
"http://data.parliament.uk/resources/393684","Government","2015-07-23","europeanunionapprovals.html","http://services.parliament.uk/bills/europeanunionapprovals.html","European Union (Approvals)","2015-2016","Lord Freud","European Union (Approvals)"
"http://data.parliament.uk/resources/393619","Government","2015-07-22","citiesandlocalgovernmentdevolution.html","http://services.parliament.uk/bills/citiesandlocalgovernmentdevolution.html","Cities and Local Government Devolution","2015-2016","Baroness Williams of Trafford","Cities and Local Government Devolution"
"http://data.parliament.uk/resources/393711","Presentation","2015-07-22","healthservicescommissioningequalityandaccountabilityno2.html","http://services.parliament.uk/bills/healthservicescommissioningequalityandaccountabilityno2.html","Health Services Commissioning (Equality and Accountability) (No. 2)","2015-2016","Rehman Chishti","Health Services Commissioning (Equality and Accountability) (No. 2)"
"http://data.parliament.uk/resources/393716","Government","2015-07-22","finance.html","http://services.parliament.uk/bills/finance.html","Finance","2015-2016","David Gauke","Finance"
"http://data.parliament.uk/resources/393720","Presentation","2015-07-22","constitutionalconventionno2.html","http://services.parliament.uk/bills/constitutionalconventionno2.html","Constitutional Convention (No. 2)","2015-2016","Graham Allen","Constitutional Convention (No. 2)"
"http://data.parliament.uk/resources/393721","Ten Minute Rule","2015-07-22","publicnuisancefromwindfarmsmandatoryliabilitycover.html","http://services.parliament.uk/bills/publicnuisancefromwindfarmsmandatoryliabilitycover.html","Public Nuisance from Wind Farms (Mandatory Liability Cover)","2015-2016","David Davis","Public Nuisance from Wind Farms (Mandatory Liability Cover)"
"http://data.parliament.uk/resources/393620","Government","2015-07-21","psychoactivesubstances.html","http://services.parliament.uk/bills/psychoactivesubstances.html","Psychoactive Substances","2015-2016","Lord Bates","Psychoactive Substances"
"http://data.parliament.uk/resources/393714","Government","2015-07-21","supplyandappropriationmainestimates.html","http://services.parliament.uk/bills/supplyandappropriationmainestimates.html","Supply and Appropriation (Main Estimates)","2015-2016","David Gauke","Supply and Appropriation (Main Estimates)"
"http://data.parliament.uk/resources/393611","Government","2015-07-20","europeanunionreferendum.html","http://services.parliament.uk/bills/europeanunionreferendum.html","European Union Referendum","2015-2016","Philip Hammond","European Union Referendum"
"http://data.parliament.uk/resources/393615","HoL Private","2015-07-20","onlinesafety.html","http://services.parliament.uk/bills/onlinesafety.html","Online Safety","2015-2016","Baroness Howe of Idlicote","Online Safety"
"http://data.parliament.uk/resources/393618","HoL Private","2015-07-20","accessiblesportsgrounds.html","http://services.parliament.uk/bills/accessiblesportsgrounds.html","Accessible Sports Grounds","2015-2016","Lord Faulkner of Worcester","Accessible Sports Grounds"
"http://data.parliament.uk/resources/393621","HoL Private","2015-07-20","constitutionalconvention.html","http://services.parliament.uk/bills/constitutionalconvention.html","Constitutional Convention","2015-2016","Lord Purvis of Tweed","Constitutional Convention"
"http://data.parliament.uk/resources/393633","Government","2015-07-20","europeanunionfinance.html","http://services.parliament.uk/bills/europeanunionfinance.html","European Union (Finance)","2015-2016","George Osborne","European Union (Finance)"
"http://data.parliament.uk/resources/393719","Presentation","2015-07-17","criminalcasesreviewcommissionsupplementarypowers.html","http://services.parliament.uk/bills/criminalcasesreviewcommissionsupplementarypowers.html","Criminal Cases Review Commission (Supplementary Powers)","2015-2016","Andy McDonald","Criminal Cases Review Commission (Supplementary Powers)"
"http://data.parliament.uk/resources/393632","Government","2015-07-16","educationandadoption.html","http://services.parliament.uk/bills/educationandadoption.html","Education and Adoption","2015-2016","Nicky Morgan","Education and Adoption"
"http://data.parliament.uk/resources/393717","Government","2015-07-16","tradeunion.html","http://services.parliament.uk/bills/tradeunion.html","Trade Union","2015-2016","Sajid Javid","Trade Union"
"http://data.parliament.uk/resources/393718","Ten Minute Rule","2015-07-16","personalsocialhealthandeconomiceducationstatutoryrequirement.html","http://services.parliament.uk/bills/personalsocialhealthandeconomiceducationstatutoryrequirement.html","Personal, Social, Health and Economic Education (Statutory Requirement)","2015-2016","Caroline Lucas","Personal, Social, Health and Economic Education (Statutory Requirement)"
"http://data.parliament.uk/resources/393622","HoL Private","2015-07-15","counciltaxvaluationbands.html","http://services.parliament.uk/bills/counciltaxvaluationbands.html","Council Tax Valuation Bands","2015-2016","Lord Marlesford","Council Tax Valuation Bands"
"http://data.parliament.uk/resources/393625","HoL Private","2015-07-15","propertyboundariesresolutionofdisputes.html","http://services.parliament.uk/bills/propertyboundariesresolutionofdisputes.html","Property Boundaries (Resolution of Disputes)","2015-2016","Earl of Lytton","Property Boundaries (Resolution of Disputes)"
