"uri","answering body","answer text","answering member > label","answering member constituency","answering member printed","date of answer","uin"
"http://data.parliament.uk/resources/100020/answer","Department of Health","<p>The Prime Minister’s £50 million Challenge Fund is currently improving general practitioner access for over two million patients across England. This includes offering evening and weekend appointments, as well as better use of technology, such as telehealth, to look after patients. By January, 7.5 million patients will be covered.</p><p> </p><p> </p><p> </p><p>And, we have recently announced another £100 million of funding for next year to improve access for even more patients.</p><p> </p>","Biography information for Dr Poulter","Central Suffolk and North Ipswich","Dr Daniel Poulter","2014-10-21","905556"
"http://data.parliament.uk/resources/100021/answer","Department of Health","<p>Adults with care and support needs should be able to move between countries within the United Kingdom knowing that their care will continue during the move.</p><p> </p><p> </p><p> </p><p>As the care and support systems in the four countries are different, we are developing principles with the Devolved Administrations to ensure continuity of care for people moving.</p><p> </p><p>These should be published in November.</p><p> </p>","Biography information for Norman Lamb","North Norfolk","Norman Lamb","2014-10-21","905560"
"http://data.parliament.uk/resources/100022/answer","Department of Health","<p>We are committed to patients having greater choice and control over their healthcare, as this can help drive up standards and improve patient care.</p><p> </p><p> </p><p> </p><p>We believe that patient empowerment is vital to the National Health Service in the 21st century. This Government is committed to continuing to develop digital platforms to enable this to happen, such as My NHS and the NHS e-Referral Service.</p><p> </p>","Biography information for George Freeman","Mid Norfolk","George Freeman","2014-10-21","905559"
"http://data.parliament.uk/resources/100023/answer","Department of Health","<p>We are investing £450 million in earlier diagnosis of cancer, including improving direct general practitioner access to non-obstetric ultrasound to support earlier diagnosis of ovarian cancer.</p><p> </p><p> </p><p> </p><p>Public Health England ran a regional Be Clear on Cancer campaign early in 2014 to raise awareness of the symptoms of ovarian cancer. The findings of the pilot will be evaluated in 2015, and this evidence would inform any decision to move from a regional to national campaign.</p><p> </p>","Biography information for Jane Ellison","Battersea","Jane Ellison","2014-10-21","905561"
"http://data.parliament.uk/resources/100024/answer","Department of Health","<p>The Better Care Fund is a pooled budget of £3.8 billion to be spent on integrating Health and Social care. Local areas will decide how best to use their funding to transform the provision of services to their communities, both improving outcomes for people, and driving efficiencies.</p><p> </p>","Biography information for Norman Lamb","North Norfolk","Norman Lamb","2014-10-21","905558"
"http://data.parliament.uk/resources/100080/answer","Attorney General","<p>The Treasury Solicitor’s Department holds records relating only to those cases in which it has acted. The Treasury Solicitor represents most, but not all, government departments in litigation. For example, Her Majesty’s Revenue and Customs normally conducts its own litigation. According to records held by the Treasury Solicitor, the number of judicial reviews involving government departments in which it has acted in each of the last four years is as follows:</p><p>2010 – 8,566</p><p>2011 – 9,603</p><p>2012 – 10,274</p><p>2013 – 16,449</p><p>Information relating to how many of those reviews were upheld in whole or in part in each year is not held centrally and could not be created without incurring disproportionate cost.</p><p><del class="ministerial">The Administrative Court Office does not collate the information requested centrally and determining the number of reviews and how many such reviews were upheld in whole or in part would incur a disproportionate cost.</del></p><p><ins class="ministerial">The information requested in respect of the Administrative Court Office is published online at <a href="https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/267408/additional-court-tables-2012.xls" target="_blank">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/267408/additional-court-tables-2012.xls</a> . The 2013 data is not currently available.</ins></p>","Biography information for Robert Buckland","South Swindon","Mr Robert Buckland","2014-10-28","211271"
"http://data.parliament.uk/resources/100081/answer","Department for Business, Innovation and Skills","<p>Exporters do not apply for lines of credit. Lines of credit are umbrella buyer credit facilities put in place at the request of an overseas buyer to purchase goods and services from a number of UK exporters.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-11-06","211318"
"http://data.parliament.uk/resources/100082/answer","Department for Business, Innovation and Skills","<p>UK Export Finance’s direct lending facility was launched in 2013-14. It was recently amended to make it more readily accessible, and has recently completed its first deal.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-28","211319"
"http://data.parliament.uk/resources/100083/answer","Department for Business, Innovation and Skills","<p>The table below shows the proportion, expressed as a percentage, of small and medium-sized enterprises (SMEs) of the total number of exporters UK Export Finance (UKEF) has supported broken down by UKEF product for the last five financial full years.</p><p> </p><p> </p><p> </p><table><tbody><tr><td><p> </p></td><td><p>2009/10</p></td><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td></tr><tr><td><p>Buyer Credit</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>11%</p></td><td><p>7%</p></td></tr><tr><td><p>Bond Support Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>67%</p></td><td><p>78%</p></td><td><p>91%</p></td></tr><tr><td><p>Export Insurance Policy</p></td><td><p>20%</p></td><td><p>75%</p></td><td><p>75%</p></td><td><p>54%</p></td><td><p>63%</p></td></tr><tr><td><p>Export Working Capital Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>0%</p></td><td><p>83%</p></td><td><p>100%</p></td></tr><tr><td><p>Letter of Credit Guarantee Scheme</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>50%</p></td></tr><tr><td><p>Supplier Credit Facility</p></td><td><p>0%</p></td><td><p>50%</p></td><td><p>29%</p></td><td><p>33%</p></td><td><p>0%</p></td></tr></tbody></table><p> </p><p>*Products launched in 2011/12</p><p> </p><p> </p><p> </p><p>SMEs are defined by the EU as companies that have fewer than 250 employees, and either a turnover of less than €50m or a balance sheet total of less than €43m.</p><p> </p><p>Information on UKEFs Bond Support Scheme has been included given that it was introduced specifically to support to smaller exporters, especially SMEs.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-27","211331"
"http://data.parliament.uk/resources/100084/answer","Department for Business, Innovation and Skills","<p>The table below shows the proportion, expressed as a percentage, of small and medium-sized enterprises (SMEs) of the total number of exporters UK Export Finance (UKEF) has supported broken down by UKEF product for the last five financial full years.</p><p> </p><p> </p><p> </p><table><tbody><tr><td><p> </p></td><td><p>2009/10</p></td><td><p>2010/11</p></td><td><p>2011/12</p></td><td><p>2012/13</p></td><td><p>2013/14</p></td></tr><tr><td><p>Buyer Credit</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>11%</p></td><td><p>7%</p></td></tr><tr><td><p>Bond Support Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>67%</p></td><td><p>78%</p></td><td><p>91%</p></td></tr><tr><td><p>Export Insurance Policy</p></td><td><p>20%</p></td><td><p>75%</p></td><td><p>75%</p></td><td><p>54%</p></td><td><p>63%</p></td></tr><tr><td><p>Export Working Capital Scheme*</p></td><td><p>-</p></td><td><p>-</p></td><td><p>0%</p></td><td><p>83%</p></td><td><p>100%</p></td></tr><tr><td><p>Letter of Credit Guarantee Scheme</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>0%</p></td><td><p>50%</p></td></tr><tr><td><p>Supplier Credit Facility</p></td><td><p>0%</p></td><td><p>50%</p></td><td><p>29%</p></td><td><p>33%</p></td><td><p>0%</p></td></tr></tbody></table><p> </p><p>*Products launched in 2011/12</p><p> </p><p> </p><p> </p><p>SMEs are defined by the EU as companies that have fewer than 250 employees, and either a turnover of less than €50m or a balance sheet total of less than €43m.</p><p> </p><p>Information on UKEFs Bond Support Scheme has been included given that it was introduced specifically to support to smaller exporters, especially SMEs.</p><p> </p>","Biography information for Matthew Hancock","West Suffolk","Matthew Hancock","2014-10-27","211332"
