"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/426070","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, pursuant to the Answer of 19 October 2015 to Question 10790, who (a) the chair and (b) other members of the National Infant Feeding Steering Group are.","Biography information for Mrs Sharon Hodgson","Mrs Sharon Hodgson","House of Commons Tabled Parliamentary Question 2015/16 14864","14864"
"http://data.parliament.uk/resources/426071","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, pursuant to the Answer of 19 October 2015 to Question 10790, if he will place in the Library the minutes of meetings of the National Infant Feeding Steering Group in the last two years.","Biography information for Mrs Sharon Hodgson","Mrs Sharon Hodgson","House of Commons Tabled Parliamentary Question 2015/16 14865","14865"
"http://data.parliament.uk/resources/426072","2015-11-06","Ministry of Defence","2015-11-04","To ask the Secretary of State for Defence, how many UK nuclear weapons have been withdrawn from operational service as a result of (a) multilateral negotiation and (b) unilateral action since 1985.","Biography information for Paul Flynn","Paul Flynn","House of Commons Tabled Parliamentary Question 2015/16 14817","14817"
"http://data.parliament.uk/resources/426073","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, pursuant to the Answer of 2 November 2015 to Question 13044, what the (a) technical, (b) regulatory and (c) contractual reasons were for delays at (i) Olkiluoto 3 and (ii) Flamanville 3 reactors.","Biography information for Paul Flynn","Paul Flynn","House of Commons Tabled Parliamentary Question 2015/16 14863","14863"
"http://data.parliament.uk/resources/426074","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, how many NHS (a) standalone midwife-led units, (b) midwife-led units situated alongside consultant-led units and (c) consultant-led maternity units there are in each region of England; and if he will make a statement.","Biography information for Mr Andrew Smith","Mr Andrew Smith","House of Commons Tabled Parliamentary Question 2015/16 14850","14850"
"http://data.parliament.uk/resources/426075","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what assessment he has made of the length of time it is taking the British Virgin Island government to respond to its consultation on a public register of beneficial ownership.","Biography information for Dr Paul Monaghan","Dr Paul Monaghan","House of Commons Tabled Parliamentary Question 2015/16 14757","14757"
"http://data.parliament.uk/resources/426076","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what assessment he has made of the effectiveness of the steps taken by the British Virgin Islands to meet Prime Minister's ambition for a public register of beneficial ownership since June 2013.","Biography information for Dr Paul Monaghan","Dr Paul Monaghan","House of Commons Tabled Parliamentary Question 2015/16 14756","14756"
"http://data.parliament.uk/resources/426077","2015-11-09","Department of Health","2015-11-04","To ask the Secretary of State for Health, on how many occasions patients were refused access to their mental health records in 2014.","Biography information for Mr Gregory Campbell","Mr Gregory Campbell","House of Commons Tabled Parliamentary Question 2015/16 14972","14972"
"http://data.parliament.uk/resources/426078","2015-11-09","Ministry of Justice","2015-11-04","To ask the Secretary of State for Justice, if he will hold discussions with the devolved administrations on establishing best practice in reducing re-offending rates throughout the UK.","Biography information for Mr Gregory Campbell","Mr Gregory Campbell","House of Commons Tabled Parliamentary Question 2015/16 14973","14973"
"http://data.parliament.uk/resources/426079","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, if he will raise with the Prime Minister of India during his forthcoming visit the welfare of elephants being trained to work in the tourism industry in that country.","Biography information for Mr David Anderson","Mr David Anderson","House of Commons Tabled Parliamentary Question 2015/16 14718","14718"
"http://data.parliament.uk/resources/426080","2015-11-06","Department for Environment, Food and Rural Affairs","2015-11-04","To ask the Secretary of State for Environment, Food and Rural Affairs, what estimate she has made of the (a) number of electric charging points in air quality management areas, (b) number of such points needed to have an effect on air quality and (c) associated costs of upgrading the necessary grid infrastructure.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14855","14855"
"http://data.parliament.uk/resources/426081","2015-11-06","Department for Environment, Food and Rural Affairs","2015-11-04","To ask the Secretary of State for Environment, Food and Rural Affairs, what assessment her Department has made of the role of LPG autogas in helping to improve urban air quality.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14856","14856"
"http://data.parliament.uk/resources/426082","2015-11-06","Department for Environment, Food and Rural Affairs","2015-11-04","To ask the Secretary of State for Environment, Food and Rural Affairs, whether her Department has assessed the necessary financial support required by local authorities to deliver a charging network for electric vehicles of the scale required to have an effect on local air quality.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14767","14767"
"http://data.parliament.uk/resources/426083","2015-11-06","Department for Transport","2015-11-04","To ask the Secretary of State for Transport, whether his Department has assessed the potential of LPG autogas as a replacement for diesel in (a) passenger cars, (b) taxis, (c) HGVs, (d) vans and (e) public sector fleets.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14766","14766"
"http://data.parliament.uk/resources/426084","2015-11-06","Department for Transport","2015-11-04","To ask the Secretary of State for Transport, what steps his Department is taking to support the development of biopropane for transport fuel.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14692","14692"
"http://data.parliament.uk/resources/426085","2015-11-06","Department for Transport","2015-11-04","To ask the Secretary of State for Transport, whether his Department has met vehicle manufacturers to discuss the availability of liquid petroleum gas vehicle models in the UK market and their potential effect on air quality.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14693","14693"
"http://data.parliament.uk/resources/426086","2015-11-06","Department for Transport","2015-11-04","To ask the Secretary of State for Transport, what support his Department has provided to local authorities to improve air quality using liquid petroleum gas; and what further such support his Department has planned.","Biography information for Alex Cunningham","Alex Cunningham","House of Commons Tabled Parliamentary Question 2015/16 14696","14696"
"http://data.parliament.uk/resources/426087","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, what steps she is taking to prevent carbon emissions outside the UK.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14808","14808"
"http://data.parliament.uk/resources/426088","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, what steps she is taking to support the sustainable management of forests outside the UK.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14809","14809"
"http://data.parliament.uk/resources/426089","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, if she will take steps to support the African Group's agreement on a Global Goal for Adaptation at the Paris Climate Conference in December.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14810","14810"
"http://data.parliament.uk/resources/426090","2015-11-06","Department for Energy and Climate Change","2015-11-04","To ask the Secretary of State for Energy and Climate Change, what steps she is taking to support the creation of jobs through low carbon growth (a) within and (b) outside the UK.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14956","14956"
"http://data.parliament.uk/resources/426091","2015-11-06","Home Office","2015-11-04","To ask the Secretary of State for the Home Department, what representations she has received on responding to correspondence from hon. Members by email rather than by letter.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14891","14891"
"http://data.parliament.uk/resources/426092","2015-11-06","Home Office","2015-11-04","To ask the Secretary of State for the Home Department, how many replies to constituent correspondence from hon. Members her Department sent by (a) email and (b) letter in each of the last three years; and what the cost breakdown of each method was in each such year.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14880","14880"
"http://data.parliament.uk/resources/426093","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many replies to constituent correspondence from hon. Members his Department sent by (a) email and (b) letter in each of the last three years; and what the cost breakdown of each method was in each such year.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14881","14881"
"http://data.parliament.uk/resources/426094","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, what representations he has received on responding to correspondence from hon. Members by email rather than by letter.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 14890","14890"
"http://data.parliament.uk/resources/426095","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, pursuant to the Answer of 22 October 2015 to Question 11792, which grants made under section 64 of the Health Services and Public Health Act 1964 are awarded on a non-competed basis; and if he will ensure all future section 64 grants are awarded on a competed basis.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2015/16 14761","14761"
"http://data.parliament.uk/resources/426096","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, pursuant to the Answer of 28 October 2015 to Question 12657, if he will commission an independent review into the procedures followed by the Tobacco Control policy team within his Department when awarding section 64 grants to Action on Smoking and Health.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2015/16 14760","14760"
"http://data.parliament.uk/resources/426097","2015-11-06","Department of Health","2015-11-04","To ask the Secretary of State for Health, what representations his Department received from Action on Smoking and Health about its grant application for the 2015-16 financial year since receipt of that application.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2015/16 14762","14762"
"http://data.parliament.uk/resources/426098","2015-11-06","Department for Work and Pensions","2015-11-04","To ask the Secretary of State for Work and Pensions, how many people over 100 years old living (a) in the UK and (b) overseas received the state pension in each of the last three years.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2015/16 14680","14680"
"http://data.parliament.uk/resources/426099","2015-11-06","Northern Ireland Office","2015-11-04","To ask the Secretary of State for Northern Ireland, whether the Royal Prerogative of Mercy has been granted to Moussa Koussa; and if she will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14895","14895"
"http://data.parliament.uk/resources/426100","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, whether Moussa Koussa's arrival in the UK by aeroplane at Farnborough in March 2011 was by prior agreement with the UK; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14953","14953"
"http://data.parliament.uk/resources/426101","2015-11-06","Foreign and Commonwealth Office","2015-11-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what evidence the Government holds of involvement in the Lockerbie bombing of Moussa Koussa; and if he will make a statement.","Biography information for Kate Hoey","Kate Hoey","House of Commons Tabled Parliamentary Question 2015/16 14952","14952"
